ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Attribution,PID,Sense_IDs,alt_translation1
6355,jzd,Bisuxica' (gue)ndaró.,,,He salted the food.,,,,,9lunWD,2038,Saló la comida.
6362,jzd,Bisuxié'ca'be niidxì' xtinné' quí nirée xtalè cuba niidxì'.,,,They tapered off my milk (they gave me less) and my cheese didn't curd (there wasn't enough).,,,,,wJm1Gt,2044,Le bajaron a mi leche (le dieron menos) no se completó su queso (no salió bastante).
6364,jzd,Bisuxieècabe laa.,,,They left him with nothing.,,,,,8YwvdW,2045,Lo dejaron desvalijado.
6876,jzd,Bisuxieè Fán Pèdru.,,,Juan took all of Pedro's money.,,,,,cAKmiD,2210,Juan le bajó todo su dinero a Pedro.
6360,jzd,Bisuxooñe' Fán Pèdru para quí (gu)idágu yoo.,,,Juan helped Pedro (to escape) so he wouldn't be put in prison.,,,,,j4wsYi,2042,Ayudo Juan a Pedro (para que se escapara y) para que no lo metieran a la cárcel.
7009,jzd,Bisuziaacabe nà'be.,,,The made him hurt his hand.,,,,,ON3YR3,2257,Le hicieron que se lastimara su mano.
6366,jzd,Bisuzuumba' xcuídi ruaa porrque cadxiìchì'.,,,The boy is pouting because he's getting mad.,,,,RLC,pefbKu,2046,Hace puchero el niño porque se está enojando.
2461,jzd,Bitaadxi'.,,,It got squashed.,,,,,hTIEMi,778,Se aplastó.
4678,jzd,Bitaadxi'.,,,It was flattened.,,,,,/PTVBx,1406,Se aplastó.
4677,jzd,Bitaadxi'ni.,,,It got squashed.,,,,,C2oT2Y,1406,Se aplastó.
6418,jzd,Bitaadxi'ti pelòta huiini' (g)uri Fán lu.,,,"He dented the little ball, Juan sat on it.",,,,,nwBja3,2071,"Abolló la pelotita, se sentó Juan (en ella)."
6388,jzd,Bitaagu' Juán puertá',,,Juan closed the door.,,,,,2vwPwa,2057,Cerró Juan la puerta.
6391,jzd,Bitaagu'nà'cabe lii.,,,They caught you.,,,,,/oTPbp,2059,Te atraparon.
4679,jzd,Bitaalà' ñee.,,,Her/his foot gave out.,,,,,XXdsvp,1407,Se le venció su pie.
6397,jzd,Bitalèbe xiiñi'be.,,,She had (i.e. gave birth to) many children.,,,,,zu/qn1,2063,"Tuvo (i.e. parió, concibió) muchos hijos."
6399,jzd,Biteegu'me xhiaame.,,,It (the animal) folded its wings.,,,,RLC,hIea4B,2064,(El animal) replegó las alas.
6415,jzd,Bitiee Mariá xiiñi'.,,,María applies makeup on her daughter.,,,,,kV2OqJ,2069,María pinta a su hija.
6414,jzd,Bitieeme xhabá'.,,,It (the bird) dirtied my clothes.,,,,,V2vqzA,2069,Manchó mi ropa (el pajarito).
12626,jzd,Bitiee nayaa lu gui'chi'di'.,,,Paint this paper green.,,,,,SmJ4Ar,6464,Pinta de verde este papel. (imperativo)
12868,jzd,Bitiee nezalu gui'chi'di'.,,,Draw on the front of this paper.,,,,,HXmbwR,6616,Pinta en el anverso de este papel.
6413,jzd,Bitieeni xhaba.,,,She painted the clothes.,,,,RLC,G2AE0k,2069,Pintó la ropa.
9334,jzd,Bitigú dechebe.,,,S/he became hunchbacked.,,,,,QJtdJJ,3433,Se hizo jorobada/o.
6422,jzd,Bitiidi'.,,,Pass it.,,,,,ha+yZS,2074,Pásalo.
6427,jzd,Bitiidi' Fán ñee delànte de Píitu.,,,Juan tripped Agapito with his foot.,,,,JLC;RGL,yAxlWl,2076,Juan le metió el pie a Agapito.
6424,jzd,Bitiidi' Fán zidi Velma.,,,Juan passed Velma the salt.,,,,,rZv510,2074,Juan le pasó la sal a Velma.
6421,jzd,Bitiidi' hora.,,,The hour has passed.,,,,,aRgdy0,2074,Pasó la hora.
6423,jzd,Bitiidi' zidicà.,,,Pass me the salt.,,,,,+0rhGe,2074,Pásame la sal.
6401,jzd,Bitiiñè'cabe buèltu.,,,They lent money.,,,,,Ao78Va,2065,Ellos prestaron dinero.
9935,jzd,"Bitiìñé'ni laa, racà bidxiguetá'beni.",,,"I lent it to him, and later he returned it to me.",,,,RLC,2wHL5t,4141,"Se lo presté, y luego me lo devolvió."
6435,jzd,Bitiipì'.,,,Whistle (imperative).,,,,,ymzmFN,2080,Chifla. (imperativo)
6432,jzd,Bitiiquì' lu bicuini ñeeu'.,,,Stand up on the tip of your foot.,,,,,W4DBo+,2079,Párate en la punta del pie.
6442,jzd,Bitiixhé'.,,,I turned it.,,,,,58hKvF,2081,Lo voltée.
6441,jzd,Bitiixhì'be guisu.,,,She already turned over the pot (she doesn't want to have any more children).,,,,,hzrT1w,2081,Ya volteó la olla (ya no quiere tener más hijos.
6436,jzd,Bitiixhì' ca bandagacà.,,,Turn over these leaves.,,,,,uaOXrt,2081,Voltea esas hojas.
6437,jzd,Bitiixhì' Nìla ca bandagacà.,,,Nina turned over these leaves.,,,,,ochGnN,2081,Nila volteó esas hojas.
4690,jzd,Bitipi xhaba(be).,,,Her clothes shortened.,,,,,3IUxHk,1413,Se hizo cortita su ropa.
4694,jzd,Bititì Fàna.,,,Juana ended up thin.,,,,,FhbGE+,1414,Quedó flaquita Juana.
9580,jzd,Bitoo ti bia' xpendabuaalu' lua'.,,,Sell me a portion of your shrimp.,,,,,Gghw+B,3750,Véndeme una medida de tu camarón.
6451,jzd,Bitopàbe guirà'nu jùntu.,,,He brought us all together.,,,,,RPfKfA,2083,Nos reunió a todos.
6449,jzd,Bitopàbe mànga (g)amixá' xtì'.,,,He rolled up the sleeves of his shirt.,,,,,GpiQdO,2083,Se arremangó las mangas de su camisa.
6453,jzd,Bitopà Fán xandié.,,,Juan picked watermelon.,,,,,I4Xfo+,2083,Juan recogió sandía.
6466,jzd,Bitopàla'sì' Fán ca' ladriú.,,,Juan picked up the bricks without obligation.,,,,,/H42A8,2089,Recogió Juan los ladrillos sin compromiso.
6471,jzd,Bitopàlu Fán buèltu.,,,Juan saved the money.,,,,JLC;RLC,MrG0v8,2092,Juan ahorró el dinero.
6478,jzd,Bitubì Fán Pèdru yu.,,,Juan rolled Pedro around on the ground.,,,,,Wn7etQ,2096,Revolcó Juan a Pedro en la tierra.
6492,jzd,Bituibe lu.,,,S/he embarrassed him.,,,,,Udu1cJ,2101,Lo avergonzó.
9336,jzd,Bituilube.,,,S/he was embarrassed.,,,,,wpv/QY,3440,Le dio vergüenza.
6493,jzd,Bitui Pèdru lu Fán.,,,Pedro embarrassed Juan.,,,,,sfSe0s,2101,Pedro le causó vergüenza a Juan.
6491,jzd,Bituxhùbe xpi'cu'be.,,,She made her dog bark.,,,,,sEe5ee,2100,Hizo ladrar a su perro.
6490,jzd,Bituxhù bi'cu'.,,,S/he made the dog bark.,,,,,sg0sZP,2100,Hizo ladrar al perro.
6486,jzd,Bituxhuca'beni.,,,They sharpened it.,,,,,yegQPr,2099,Le sacaron punta.
7905,jzd,Biu'cha' ca' xtiidxá'.,,,My data (lit. words) got mixed up.,,,,,/xVBeA,2531,Se revolvieron mis datos (lit. palabras).
8255,jzd,Biuché' purr tí' mà' gupá' ti xiiñé'.,,,I turned ugly because I had a son.,,,,RLC,+O7DAS,2619,Me puse fea porque tuve un hijo.
8977,jzd,Biu'chi' gunaa.,,,Woman who became ugly.,,,,,81ZPe7,2939,Mujer que se hizo fea.
8271,jzd,Biu'dxu' laya.,,,Her teeth rotted.,,,,,w2PrPy,2624,Se le pudrieron los dientes.
8270,jzd,Biu'dxu' layabe.,,,His teeth rotted.,,,,,2wS6zY,2624,Se le pudrieron los dientes.
8038,jzd,Biui' Rìlu ra bi'ya' dxà' yùzè lu xque'la'.,,,Rilo became discouraged when he saw that his corn field had been invaded by cattle.,,,,,Lm9ZTf,2573,Rilo se desmoralizó cuando vio que su milpa estaba invadida por el ganado.
8044,jzd,Biui' ti cuèntu.,,,S/he told a story.,,,,,Z8+9xJ,2574,Contó un cuento.
8037,jzd,Biui' xhpiaani' gubidxa ra gudi'di' ti za lu.,,,The light of the sun went out when a cloud covered its face.,,,,,TMCk6n,2573,Se apagó la luz del sol cuando una nube le cubrió el rostro.
8050,jzd,"Biui' xi cazaaca'lu', naa zucaadiaga' lii.",,,"Share what is happening to you, I will listen to you.",,,,,Guq8m6,2574,"Platica lo que te sucede, yo te escucharé."
7957,jzd,Biuu bi deche.,,,Air entered his/her back.,,,,EJG;JLC,3VAPm3,2546,Se le metió aire en la espalda.
7959,jzd,Biuu bi talòn.,,,Air entered his/her heel.,,,,EJG,+wfD8x,2546,Le entró aire en el talón.
8002,jzd,Biuu chaahui'.,,,Come in slowly. (imperative),,,,RLC,NP9pic,2559,Entra despacito. (imperativo)
8003,jzd,Biuuchaahui' buèltu.,,,He saves the money.,,,,EJG,u2Rx56,2559,Ahorra el dinero.
8006,jzd,Biuudxì.,,,Be still already.,,,,,ouHI8O,2561,Ya estate quieto.
8010,jzd,Biuudxì.,,,Calm down!,,,,,rw/tBq,2561,¡Cálmate!
8008,jzd,Biuudxì'be.,,,S/he stayed still.,,,,,hfvKEe,2561,Se quedó quieto.
7935,jzd,Biuu gunaa ra lidxi bendá'.,,,"They stole a woman at my sister's house (i.e. at my sister's house, one of her sons brought his girlfriend to live with him).",,,,,YTC8fC,2537,"Robaron a la mujer en casa de mi hermana (i.e. en casa de mi hermana, uno de sus hijos trajo a su pareja para vivir juntos en su casa)."
7979,jzd,Biuu guna ra riaapa' biaani'.,,,Alms have come in where the wake is held.,,,,,Nu8JHl,2553,Entró limosna donde están teniendo el velorio.
7939,jzd,Biuule' bidxiñà.,,,The deer was cornered.,,,,EJG,Rpjhak,2538,Se acorraló al venado.
7940,jzd,Biuule' gui'xhi' xtì' Fán.,,,A fence was put around Juan's land.,,,,,3byJh2,2538,Se puso una cerca en el terreno de Juan.
12003,jzd,Biuu màlu.,,,S/he got seriously ill.,,,,RLC,RmB2eI,5930,Se puso malo (i.e. grave de salud).
7991,jzd,Biuunisa ba'du' neegue'.,,,The boy was baptized yesterday.,,,,,2z1KzA,2557,Se bautizó ayer al niño.
7995,jzd,Biuu nisa ra lidxi Fán.,,,Water got into Juan's house.,,,,,5gBnkD,2557,Se metió agua en la casa de Juan.
7994,jzd,Biuu nisa yoo xtì' Fán.,,,Juan's house flooded.,,,,,V7+1SL,2557,Se inundó la casa de Juan.
7946,jzd,Biuu xiiñé' xindxá'.,,,My son got a fever.,,,,,qwKzcH,2541,Le dio calentura a mi hijo.
8022,jzd,Biuuya' ca' cuaana'naxhi.,,,The fruits are set/made to ripen.,,,,,5sscLU,2564,Se ponen a madurar las frutas.
8033,jzd,Biuxe gamixa' xti' Tinu.,,,Tino's shirt ripped.,,,,,85FJNP,2571,Se rompió la camisa de Tino.
9625,jzd,Biuyaa xtì'lu'.,,,Your beauty mark.,,,,,ypWxik,3775,Tu lunar.
9624,jzd,Biuyaa xtíu'.,,,Your freckle/beauty mark.,,,,,qYGONW,3775,Tu lunar.
8462,jzd,Bixaata' yaga.,,,The tree came down.,,,,,QQ3GU5,2667,Se vino abajo el árbol.
8472,jzd,Bixagué'me.,,,The animal untied itself.,,,,,evSic/,2671,Se desató el animal.
8451,jzd,"Bixa la Min lu gui'chi', nga runi qué ñanda nibi xaique xti'.",,,"Min's name was erased from the list, that's why he couldn't vote for her candidate.",,,,,QIdBou,2666,"Se borró el nombre de Min en la lista, por eso no pudo votar por su candidato."
8425,jzd,Bixalé'be; Bixelé'.,,,She moved away.,,,,EJG,Mk2WD3,2662,Se apartó / alejó.
8442,jzd,Bixalé'ndaga ra puertá'.,,,The door opened wide.,,,,,VwvYMg,2663,Se abrió la puerta de par en par.
8469,jzd,Bixedxé' doo.,,,The twine untied itself.,,,,,dWW9cu,2670,Se desató el mecate.
7446,jzd,Bixeembe' ruaa Fán.,,,Juan made a face.,,,,RLC,9prN9O,2400,Juan hizo mueca.
8476,jzd,Bixegué'.,,,It came untied.,,,,,YZ3cpk,2671,Se desató.
8474,jzd,Bixegué' doo.,,,The twine untied itself.,,,,,l2mHnN,2671,Se desató el mecate.
8491,jzd,Bixembé' de rarí'.,,,Move away from here.,,,,,ge9Kqk,2675,Apártate de aquí.
6575,jzd,Bixhaata'ñeebe Fán.,,,He stomped on Juan.,,,,,m9qsuO,2122,Pisoteó a Juan.
6576,jzd,Bixhaata'ñeebeni.,,,He stepped on it.,,,,,62TrV+,2122,Lo pisó.
7429,jzd,Bixhaaya' ladibe.,,,Her/his skin got very rough.,,,,,aiv2ZC,2394,Se puso áspera su piel.
6580,jzd,Bixhacu Fán Mariá.,,,Juan had sex with María.,,,,JLC;RGL;RLC,C1uzgf,2123,Juan hizo el amor con María.
7433,jzd,Bixhacu ladé'.,,,My skin is covered in boils.,,,,,XybIR9,2396,Se me llenó de ronchas mi piel.
7432,jzd,Bixhacu lubè.,,,His/her face became full of pockmarks.,,,,,1mADDI,2396,Se le llenó de huequitos la cara.
6579,jzd,Bixhacu Teu ti cuaana'naxhi xhti' Chata.,,,Teo took a fruit from Chata (i.e. Teo made love to Chata).,,,,,k50BEC,2123,Teo tomó una fruta de Chata (i.e. hizo el amor Teo con Chata).
6501,jzd,Bixhadxé'.,,,Untie (her/him/it).,,,,,9MWgm5,2104,Desátalo.
6502,jzd,Bixhadxé' Fán doo.,,,Juan untied the lasso.,,,,,vKTgsC,2104,Juan desató la riata.
6500,jzd,Bixhadxé' Mariá doo.,,,María untied the cord.,,,,,uycd7B,2104,Desató María el cordón.
7439,jzd,Bixheembe' Linu lu ra culidxi bixhoze laa.,,,Lino made faces when his father scolded him.,,,,,3wJfzm,2399,Lino hizo muecas ante el llamado de atención que le hizo su padre.
7438,jzd,Bixheembe' lu León.,,,León's face deformed.,,,,,SPO3lR,2399,A León se le deformó la cara.
6631,jzd,Bixhiabe lidxi.,,,He destroyed his house.,,,,,YZQsJb,2144,Destruyó su casa.
13430,jzd,"Bixhiaxí' ti ba'du' nguiiyu', pxhːː.",,,pxhːː sneezed the boy.,,,,,WJvaWu,7208,pxhːː estornudó el niño.
6597,jzd,Bixhidxinà' Fán.,,,Juan knocked (on the door).,,,,,/Eh1md,2128,Juan tocó (la puerta).
6524,jzd,Bixhidxinà' ra puertá'.,,,Knock the door with the hand.,,,,,/nUIli,2108,Toca la puerta con la mano.
6537,jzd,Bixhii Chenta ti lari ñee.,,,Chenta tied a rag to her foot.,,,,,B7KnDd,2109,Chenta amarró un trapo en su pie.
6615,jzd,Bixhiidi' lu pàtiu xtì' Ròsa.,,,Rosa's yard became full of weeds.,,,,,f9ZPVH,2136,Se llenó de maleza el patio de Rosa.
6542,jzd,Bixhii doocà lu yagadi'.,,,Tie that rope to this tree.,,,,,oh2Mt+,2109,Amarra esa cuerda en este árbol.
6601,jzd,Bixhii guixi lu pàtiu.,,,S/he grew grass in the empty lot.,,,,,DISw6Z,2130,Creció zacate en el patio.
7457,jzd,Bixhiihui'xha'ta'.,,,It is completely full (ex. a plot of land covered in thorny bushes).,,,,,6Ifogi,2403,Se llenó demasiadísimo (ej. un terreno que se llenó de matorral espinoso).
7448,jzd,Bixhii layu xtì' Mente.,,,Mente's plot of land is covered in weeds.,,,,,O7vq+v,2401,Se enmontó el terreno de Mente.
6547,jzd,Bixhiiñe' Fàna labadòra xtì'.,,,Juana broke down her washing machine.,,,,,T/c0z4,2111,Juana descompuso su lavadora.
6545,jzd,Bixhiì xcuídi nisa.,,,The child spilled water.,,,,,bot2XN,2110,El niño derramó agua.
6592,jzd,Bixhirini Fán.,,,S/he had breakfast.,,,,,x+zS+Q,2127,Desayunó.
6589,jzd,Bixhirinilu'; Bixhurinilu'.,,,You had breakfast.,,,,,FUGzDR,2127,Desayunaste.
7461,jzd,Bixhixhì lube.,,,Her/his face became gaunt.,,,,,eWl+C+,2405,Su cara se demacró.
9340,jzd,Bixhozé'.,,,My father.,,,,JLC;RGL;RLC,mP+9e0,3447,Mi padre.
9342,jzd,Bixhozé'biìda'.,,,My grandfather.,,,,,dY6dKp,3448,Mi abuelito.
9343,jzd,Bixhozé'biida'.,,,My grandfather.,,,,,UTyS+J,3448,Mi abuelito.
9344,jzd,Bixhozebíidabe.,,,Her/his grandfather.,,,,,W1zxar,3448,Su abuelo (de ella/él).
9345,jzd,Bixhozebíidalu'.,,,Your grandfather.,,,,,pO3mr5,3448,Tu abuelo.
9341,jzd,Bixhoze bixhozé'.,,,My father's father.,,,,EJG;JLC;ND;RGL;RLC,kAVOCR,3447,Papá de mi papá.
9346,jzd,Bixhoze bixhozé'biìda'.,,,My grandfather's father.,,,,,v1LwNk,3448,Papá de mi abuelito.
6963,jzd,Bixhozé' bizuhuaa ndaani' yoo.,,,My father was the one at the head of the household.,,,,EJG;RLC,9T9ZKJ,2243,Mi papá era el jefe de familia.
9350,jzd,Bixhozegolabe.,,,His/her grandfather.,,,,,ALLCDV,3451,Su abuelo.
9351,jzd,Bixhozegòlalu'.,,,Your grandfather.,,,,,Hfp46+,3451,Tu abuelo.
9349,jzd,Bixhoze guidxi ne ca' xaique xtì'.,,,The president of the town with his cabinet.,,,,,sHPY9H,3450,El presidente del pueblo con su gabinete.
9338,jzd,Bixhozé' José.,,,Uncle José.,,,,,AtP8Rr,3447,Tío José.
5387,jzd,Bixhozé' lá òra chí nduu bini lá ruguucha'nà' nèbeni biidxi' xtì' xandié biidxi' xtì melón biidxi' guitu.,,,"When my dad goes to sow, he mixes watermelon seeds, melon seeds, and pumpkin seeds.",,,,,DR2EmX,1636,"Mi papá cuando va a sembrar, revuelve semilla de sandía, semilla de melón, semilla de calabaza."
9347,jzd,Bixhoze xñaàbiida'.,,,Father of my grandmother.,,,,,IOCfvP,3448,Papá de mi abuelita.
6549,jzd,Bixhudxi Fán Pèdru.,,,Juan got Pedro drunk.,,,,,o91+jv,2112,Juan emborrachó a Pedro.
6551,jzd,Bixhundxì (g)ubà bicuini nà'.,,,The arthritis warped his finger.,,,,,EV02Fl,2113,La artritis le enchuecó el dedo.
6550,jzd,Bixhundxì gui plàsticu.,,,The flame bent the plastic.,,,,,VZAXHm,2113,La lumbre dobló el plástico.
6617,jzd,Bixhuuba' bere.,,,S/he made the hen go broody.,,,,,66W+y9,2137,Puso a la gallina a empollar.
8450,jzd,Bixia diidxa' bicaa Lina.,,,The words Lina wrote were erased.,,,,,QYb0xX,2665,Se borraron las palabras que Lina escribió.
8449,jzd,Bixia lidxi Lína.,,,Lina's house fell apart.,,,,,YzGxT9,2665,Se desbarató la casa de Lina.
8668,jzd,Bixiee'.,,,I was stripped of all my belonging.,,,,,M8T2TF,2726,Fui despojado de todas mis pertenencias.
8669,jzd,Bixieèbe.,,,S/he's been cleaned out.,,,,,4F//B2,2726,"Se le acabó todo; Se quedó sin nada,"
8658,jzd,Bixié' (gu)enda ro (g)udo Fán gueta.,,,The food started to run out because Juan already ate.,,,,,j6Ne6k,2725,Se hizo poquito la comida porque ya comió Juan.
8659,jzd,Bixié'nu.,,,We became few (there's fewer people now).,,,,,ee3gY6,2725,Nos hicimos poquitos (ya habemos menos gente).
8521,jzd,Bixiguí'.,,,Pleated.,,,,,Ame8ZZ,2687,Tableado (como la ropa).
8540,jzd,Bixiì.,,,It spilled.,,,,,8tyxLK,2691,Se derramó.
8522,jzd,Bixii ca yùzè xtì' Nícu.,,,Nico's cows were milked.,,,,,idydSN,2688,Se ordeñaron las vacas de Nico.
8447,jzd,Bixiiñe'.,,,It broke down.,,,,EJG;JLC;ND;RLC,CCMhaK,2664,Se descompuso.
14950,jzd,Bixiiñe' .,,,(An appliance) broke down.,,,,,s9Qa5u,8617,Se descompuso (un aparato).
8535,jzd,Bixii niidxi' dá' ndaani' guisucà.,,,The milk contained in that pot spilled.,,,,,ViaCgU,2691,Se tiró la leche contenida en esa olla.
8493,jzd,Bixi quèsu.,,,The cheese became salty.,,,,,FDbpQl,2676,Se puso salado el queso.
8551,jzd,Bixoo (g)endahuara xhtì' Mariá.,,,María's illness worsened.,,,,,FT9iIV,2694,Empeoró la enfermedad de María.
6852,jzd,Bixooñe'nà'be.,,,Her hand slipped.,,,,,qzRbHL,2202,Se le resbaló la mano.
6857,jzd,Bixooñe'ñee.,,,S/he slipped but didn't fall.,,,,JLC;ND;RLC,SEM2BI,2204,Se resbaló pero no se cayó.
6856,jzd,Bixooñe'ñeebe.,,,His foot slipped.,,,,RLC,Dn7/QW,2204,Se le resbaló el pie.
14945,jzd,Bixooñe' ñee Fán biaba ndani beñe: x́ a'a'.,,,Juan's foot slipped in the mud and went x́ a'a'.,,,,EJG,MtFbI9,8614,El pie de Juan se resbaló en el lodo e hizo x́ a'a'.
6854,jzd,Bixooñe'nè Fàna nguiiu'.,,,Juana eloped with the man.,,,,,JCxazo,2203,Juana se huyó con el hombre.
6853,jzd,Bixooñe'nè Fán gunaa.,,,Juan eloped with the woman.,,,,,oRxLFO,2203,Se huyó Juan con la mujer.
9818,jzd,(Bi / xpi)chuga ngùpi.,,,Armadillo shell.,,,,,nCxfLV,4049,Caparazón de armadillo.
8553,jzd,Bixubi lari.,,,The fabric warped.,,,,,1WZkMA,2695,Se enchuecó la tela.
9379,jzd,Bixugà (bicuini) galahuí'.,,,Nail of the middle finger / toe.,,,,,SDY74Y,3477,Uña del dedo de en medio.
9378,jzd,Bixugà cue' bixugà huiini'.,,,Nail of the ring finger.,,,,,vrkZPI,3477,Uña del anular.
9381,jzd,Bixugà cue' bixugàro'.,,,Nail of the index finger / toe.,,,,,zwIGmH,3477,Uña del índice.
9380,jzd,Bixugà dxaaga bixugàro'.,,,Nail of the toe next to the big toe.,,,,,m2w3k/,3477,Uña del dedo del pie junto a la del dedo gordo.
9382,jzd,Bixugà dxaga bixugà huiini'.,,,Nail of the toe next to the pinky.,,,,,gwnByw,3477,Uña del dedo junto a la del dedo chiquito del pie.
6912,jzd,Bixui'lu Fàna bixhoze.,,,Juana imagined her father.,,,,,Kn3m8m,2226,Se imaginó Juana a su papá.
8598,jzd,Bixundxì nàylo.,,,The plastic shrunk.,,,,,kkn0Y1,2704,Se encogió el plástico.
6858,jzd,Bixuuba'cuiini' Mariá pantalón xtì' Fán.,,,María did the cuffs on Juan's pants.,,,,,WZ2JyK,2205,María le hizo el dobladillo al pantalón de Juan.
8622,jzd,Bixuuba'ni.,,,It wore down (ex. a saw whose teeth are worn down).,,,,EJG;JLC;ND;RGL;RLC,frEVu2,2710,Se gastó (lit. desgranó) (ej. una sierra cuyos dientes se desgastaron)
6868,jzd,Bixuuxè'du Fán yaga.,,,Juan broke the stick into tiny pieces.,,,,RLC,7dXFfE,2208,Juan hizo pedacitos el palo.
8102,jzd,Biyaalà' quesiú.,,,The string cheese became chewy.,,,,,DZLw4b,2584,Se hizo chicloso el quesillo.
6662,jzd,Biyaana'xhì Fàna Pèdru.,,,Juana made Pedro dinner.,,,,,wnPyeC,2149,Juana le hizo de cenar a Pedro.
8107,jzd,Biyaase'.,,,It became black.,,,,,XMEMaI,2588,Se puso negro.
1083,jzd,Biyètecàlá raca nabiùxè.,,,A bill to get change for.,,,,,PHShyR,449,Un billete para hacer cambio.
9305,jzd,Biye' xtì' gue'tu' Fán.,,,"Flowers for Juan, the deceased.",,,,,ypD4Rf,3371,Flores para el difunto Juan.
5444,jzd,Biyooxho' rucuudè' ñee guirà' ca' yaga nasoo zúhuaa neza zé'di'di'.,,,The wind bends the trunks of the tall trees that are in its path.,,,,,WSsVDJ,1655,El viento dobla los tallos de los árboles altos que hay en su trayectoria.
6727,jzd,Bizaabè bixuga ladé'.,,,S/he scratched my skin.,,,,,vskUAb,2169,Me razguñó la piel
6739,jzd,Bizaabe bixuga ndaani'be.,,,She scratched his belly (and caused stretch marks as in the case of pregnant women).,,,,,B6oUM9,2171,"Se rascó la panza (y se la marcó, como en el caso de las mujeres embarazadas)."
6726,jzd,Bizaa begù icu'.,,,Comb your hair.,,,,,XRuI93,2169,Péinate.
8376,jzd,Bizaabi'.,,,S/he owed.,,,,,yVSGnK,2649,Adeudó.
6779,jzd,Bizaabi'be diidxa' lu binnì.,,,He let people know.,,,,,GSMukj,2180,Le avisó a la gente.
6780,jzd,Bizaabi'cabe guiiba' lu Fán.,,,They pointed the gun at Juan.,,,,RGL,BVgasx,2181,Le apuntaron a Juan con la pistola.
8384,jzd,Bizaabi' diidxa'.,,,Go let them know.,,,,,tfOIjd,2654,Ve a avisar.
6785,jzd,Bizaabi' la'dxi'be (gu)endaro.,,,He likes the food.,,,,JLC,IUBdKq,2183,Le gustó la comida.
8391,jzd,Bizaabi'la'dxi' ni cayó binnì.,,,S/he craved what the people were eating.,,,,,e3s7re,2655,Se le antojó lo que está comiendo la gente.
6791,jzd,Bizaabinà'be.,,,He waved to him from afar.,,,,,IlQ168,2185,Lo saludó de lejos con la mano.
8406,jzd,Bizaacà.,,,It happened.,,,,,E5HVIx,2657,Sucedió.
8410,jzd,Bizaacà'la'dxi' Fán.,,,It happened to Juan.,,,,,FV7v4s,2658,Le ocurrió a Juan.
8414,jzd,Bizaacà'lu.,,,It happened to him/her.,,,,,pY9QIG,2659,Le sucedió (algo).
8413,jzd,Bizaacà'lube.,,,Something happened to her.,,,,,itm55A,2659,Le pasó algo.
8402,jzd,Bizaacà' xneza.,,,It came out well.,,,,,WKyZHc,2657,Resultó bien.
6738,jzd,Bizaame bixugà.,,,(The animal) scratched him.,,,,,Kdc0UZ,2171,Lo arañó (el animal).
6740,jzd,Bizaa mixtú' bixugà.,,,The cat stuck its nails in.,,,,,LcXQ5S,2171,Encajó el gato las uñas.
3322,jzd,"Bizaani' ra rì', quí ruuyá' .",,,"Illuminate it, I can't see.",,,,,2Y41wH,995,Alumbra que no veo.
6750,jzd,́Bizaani'sa laricà́.,,,Rinse those clothes!,,,,,/Cz9TK,2173,¡Enjuaga esa ropa!
6698,jzd,Bizaani' xtuxhu biaani'.,,,The light shines strongly.,,,,,8pjC4R,2160,Brilló fuerte la luz.
6687,jzd,Bizaaqui' Fàna ñee Fán nè pèdru.,,,Juana cheated on Juan with Pedro.,,,,,WJUZsZ,2155,Juana engañó a Juan con Pedro.
6760,jzd,Bizaaruaa Javier diidxa' libanà.,,,Javier recited the poem well.,,,,,AOIaZS,2178,Javier declamó bien la poesía.
6741,jzd,Bizaa xù'gà mixtú' xi'que Fán.,,,The cat scratched Juan's shoulder.,,,,,gJa9dC,2171,El gato le arañó el hombro a Juan.
15239,jzd,"Bizaa xùgà ti dxaapa' naa, tìsì bicaa ti diidxa' yàyàdo' laa.",,,A young woman scratched me just because I catcalled her.,,,,,xT/SUa,8814,"Me rasguñó una muchacha, sólo porque le dije un piropo."
6782,jzd,Bizabigaà Fán lunà' Pèdru.,,,"Juan had something pending with Pedro (ex. debt, a grudge, unfinished business).",,,,,fh0m8r,2182,Juan tuvo un pendiente con Pedro.
9357,jzd,Bizaná'.,,,My sister (said by a man); My brother (said by a woman).,,,,,NdoWVy,3455,Mi hermana (dicho por hombre); Mi hermano (dicho por mujer).
9359,jzd,Biza'na' Ana.,,,Ana's brother.,,,,,vityDn,3455,El hermano de Ana.
9360,jzd,Biza'na' bixhozé'.,,,My father's sister.,,,,,wJd17Y,3455,La hermana de mi papá.
9354,jzd,Biza'na'ca'be.,,,They're opposite sex siblings.,,,,,fF1vcN,3455,Son hermanos del sexo opuesto.
2891,jzd,Bizaná' güe' zia'.,,,My brother drank a lot.,,,,,FiPveY,878,Mi hermano tomó mucho.
2892,jzd,Bizaná' güe'zia' bichiiña' bupu.,,,My brother drank too much beer.,,,,,vEPvvT,878,Mi hermano tomó mucho cerveza.
9355,jzd,Bizaná' huaniisì'.,,,My older sibling of the opposite sex.,,,,,gUvqWV,3455 ; 3458,Mi hermano mayor (dicho por mujer); Mi hermana mayor (dicho por hombre).
9356,jzd,Bizaná' huiiné'.,,,My little brother.,,,,,kSX4PH,3455,Mi hermano(a) chiquito(a).
